iteration,cost,l1_n1_w0,l1_n1_w1,l1_n1_w2,l1_n2_w0,l1_n2_w1,l1_n2_w2,l2_n1_w0,l2_n1_w1,l2_n1_w2
0,0.6929,0.0,-0.08257532,-0.85824776,0.0,0.49315786,0.45692348,0.0,-0.72017,0.8425522
1,0.6929,-2.3813545e-05,-0.08287227,-0.8583514,-0.0004029222,0.49316734,0.45692825,-2.3813545e-05,-0.72000074,0.8426242
2,0.6929,-4.555024e-05,-0.08316801,-0.8584564,-0.0008080511,0.4931779,0.45693234,-4.555024e-05,-0.7198376,0.8426914
3,0.6929,-6.529e-05,-0.083462566,-0.8585626,-0.0012152976,0.49318948,0.4569358,-6.529e-05,-0.71968037,0.8427541
4,0.6929,-8.310769e-05,-0.083756,-0.85867006,-0.0016245751,0.4932021,0.45693868,-8.310769e-05,-0.7195288,0.84281254
5,0.6929,-9.907503e-05,-0.08404834,-0.8587787,-0.002035801,0.49321565,0.45694104,-9.907503e-05,-0.7193827,0.8428668
6,0.6929,-0.000113262606,-0.084339626,-0.8588885,-0.0024488962,0.49323013,0.45694292,-0.000113262606,-0.71924186,0.8429171
7,0.6929,-0.00012573655,-0.08462989,-0.85899943,-0.0028637848,0.4932455,0.45694435,-0.00012573655,-0.719106,0.8429636
8,0.6929,-0.0001365615,-0.08491918,-0.8591114,-0.0032803933,0.49326175,0.4569454,-0.0001365615,-0.718975,0.84300643
9,0.6929,-0.00014579798,-0.085207514,-0.8592245,-0.0036986517,0.49327883,0.45694607,-0.00014579798,-0.71884865,0.84304583
10,0.6929,-0.00015350523,-0.085494936,-0.8593386,-0.004118493,0.4932967,0.45694643,-0.00015350523,-0.7187267,0.84308195
11,0.6929,-0.00015973931,-0.08578147,-0.8594536,-0.004539853,0.49331537,0.4569465,-0.00015973931,-0.71860904,0.8431149
12,0.6929,-0.0001645537,-0.08606715,-0.8595696,-0.0049626706,0.49333477,0.45694628,-0.0001645537,-0.7184955,0.84314483
13,0.6929,-0.00016800145,-0.086352,-0.85968655,-0.0053868843,0.4933549,0.45694587,-0.00016800145,-0.7183859,0.8431719
14,0.6929,-0.00017013101,-0.08663605,-0.8598044,-0.005812439,0.4933757,0.45694527,-0.00017013101,-0.7182801,0.84319615
15,0.6929,-0.00017099062,-0.08691933,-0.8599231,-0.006239279,0.49339718,0.4569445,-0.00017099062,-0.7181779,0.8432178
16,0.6929,-0.00017062554,-0.08720186,-0.86004275,-0.006667353,0.4934193,0.4569436,-0.00017062554,-0.7180792,0.8432369
17,0.6929,-0.00016908086,-0.087483674,-0.8601632,-0.0070966096,0.49344203,0.4569426,-0.00016908086,-0.71798384,0.8432537
18,0.6929,-0.00016639734,-0.08776478,-0.86028445,-0.007527001,0.49346536,0.45694152,-0.00016639734,-0.71789175,0.84326816
19,0.6929,-0.00016261524,-0.0880452,-0.8604065,-0.007958482,0.4934893,0.45694038,-0.00016261524,-0.71780276,0.84328043
20,0.6929,-0.0001577731,-0.08832497,-0.86052936,-0.008391008,0.4935138,0.45693922,-0.0001577731,-0.71771675,0.8432906
21,0.6929,-0.00015190837,-0.0886041,-0.8606529,-0.008824537,0.49353883,0.45693806,-0.00015190837,-0.7176336,0.84329885
22,0.6929,-0.00014505682,-0.08888261,-0.86077726,-0.009259026,0.4935644,0.45693693,-0.00014505682,-0.7175532,0.8433052
23,0.6928,-0.00013725215,-0.089160524,-0.8609023,-0.0096944375,0.49359047,0.45693582,-0.00013725215,-0.7174754,0.8433097
24,0.6928,-0.00012852659,-0.08943786,-0.8610281,-0.010130735,0.49361703,0.45693478,-0.00012852659,-0.7174002,0.8433125
25,0.6928,-0.00011891199,-0.089714624,-0.8611545,-0.010567882,0.49364406,0.45693383,-0.00011891199,-0.7173274,0.8433137
26,0.6928,-0.00010843796,-0.08999085,-0.86128163,-0.011005844,0.49367157,0.45693296,-0.00010843796,-0.71725696,0.84331334
27,0.6928,-9.713357e-05,-0.09026654,-0.8614094,-0.011444588,0.49369952,0.45693222,-9.713357e-05,-0.7171888,0.8433115
28,0.6928,-8.5026375e-05,-0.09054171,-0.8615378,-0.011884082,0.4937279,0.45693162,-8.5026375e-05,-0.7171228,0.8433082
29,0.6928,-7.214265e-05,-0.090816386,-0.86166686,-0.012324297,0.49375668,0.45693117,-7.214265e-05,-0.7170589,0.8433036
30,0.6928,-5.8509017e-05,-0.091090575,-0.8617965,-0.012765201,0.4937859,0.4569309,-5.8509017e-05,-0.716997,0.8432977
31,0.6928,-4.4148954e-05,-0.09136429,-0.86192673,-0.013206768,0.49381548,0.45693082,-4.4148954e-05,-0.71693707,0.8432906
32,0.6928,-2.9086674e-05,-0.09163754,-0.86205757,-0.013648971,0.49384546,0.45693094,-2.9086674e-05,-0.71687895,0.8432824
33,0.6928,-1.334341e-05,-0.09191034,-0.862189,-0.014091784,0.4938758,0.45693126,-1.334341e-05,-0.7168226,0.8432731
34,0.6928,3.058858e-06,-0.09218271,-0.86232096,-0.014535183,0.4939065,0.45693183,3.058858e-06,-0.716768,0.84326273
35,0.6928,2.0098336e-05,-0.09245466,-0.8624535,-0.014979145,0.49393755,0.45693263,2.0098336e-05,-0.7167151,0.8432514
36,0.6928,3.775696e-05,-0.092726186,-0.8625866,-0.015423647,0.49396893,0.45693368,3.775696e-05,-0.7166638,0.8432391
37,0.6928,5.6013865e-05,-0.09299731,-0.86272025,-0.015868666,0.49400064,0.456935,5.6013865e-05,-0.71661395,0.843226
38,0.6928,7.485303e-05,-0.09326805,-0.8628544,-0.016314182,0.49403268,0.4569366,7.485303e-05,-0.7165656,0.84321207
