iteration,cost,l1_n1_w0,l1_n1_w1,l1_n1_w2,l1_n2_w0,l1_n2_w1,l1_n2_w2,l2_n1_w0,l2_n1_w1,l2_n1_w2
0,0.7017,0.0,0.60134745,-0.8075187,0.0,0.97719884,0.036351204,0.0,-0.5790973,0.51119375
1,0.7013,-0.0007440873,0.60037774,-0.8071724,0.0005007891,0.9765097,0.0369125,-0.0007440873,-0.5752136,0.512865
2,0.7009,-0.0014602654,0.5994257,-0.80683625,0.0009791326,0.97583586,0.037462376,-0.0014602654,-0.57147014,0.5144556
3,0.7006,-0.0021499256,0.5984905,-0.8065099,0.0014357805,0.97517663,0.03800119,-0.0021499256,-0.5678611,0.51596886
4,0.7002,-0.002814383,0.5975714,-0.8061931,0.0018714675,0.97453135,0.03852929,-0.002814383,-0.5643809,0.51740783
5,0.7,-0.0034548831,0.59666765,-0.8058855,0.0022869117,0.97389936,0.03904702,-0.0034548831,-0.56102425,0.5187755
6,0.6997,-0.004072605,0.5957786,-0.8055868,0.002682816,0.97328013,0.03955472,-0.004072605,-0.557786,0.52007484
7,0.6994,-0.004668665,0.5949036,-0.8052967,0.0030598654,0.972673,0.040052712,-0.004668665,-0.5546613,0.5213086
8,0.6992,-0.0052441196,0.594042,-0.80501497,0.0034187278,0.9720775,0.040541325,-0.0052441196,-0.5516454,0.5224795
9,0.699,-0.005799971,0.5931933,-0.80474126,0.0037600538,0.97149307,0.041020874,-0.005799971,-0.54873383,0.52359
10,0.6988,-0.006337168,0.59235686,-0.8044753,0.0040844763,0.9709192,0.04149166,-0.006337168,-0.5459222,0.5246427
11,0.6986,-0.006856611,0.5915322,-0.80421686,0.0043926104,0.97035545,0.04195399,-0.006856611,-0.54320645,0.5256399
12,0.6985,-0.007359152,0.59071875,-0.8039657,0.004685054,0.9698014,0.04240815,-0.007359152,-0.54058254,0.52658385
13,0.6983,-0.0078456,0.5899161,-0.8037215,0.004962386,0.96925664,0.042854425,-0.0078456,-0.53804666,0.52747685
14,0.6982,-0.00831672,0.5891238,-0.803484,0.0052251695,0.96872073,0.043293092,-0.00831672,-0.5355952,0.5283209
15,0.698,-0.00877324,0.58834136,-0.80325305,0.005473948,0.9681933,0.043724418,-0.00877324,-0.53322464,0.5291181
16,0.6979,-0.00921585,0.5875684,-0.8030284,0.005709249,0.96767396,0.044148657,-0.00921585,-0.53093165,0.5298704
17,0.6978,-0.009645205,0.58680457,-0.8028098,0.0059315837,0.96716243,0.04456607,-0.009645205,-0.528713,0.53057957
18,0.6977,-0.010061927,0.58604944,-0.802597,0.006141445,0.96665835,0.04497689,-0.010061927,-0.5265656,0.53124744
19,0.6976,-0.010466607,0.58530265,-0.80238986,0.0063393116,0.96616143,0.04538136,-0.010466607,-0.52448654,0.5318757
20,0.6975,-0.010859804,0.5845639,-0.80218816,0.0065256427,0.96567136,0.045779705,-0.010859804,-0.5224729,0.5324661
21,0.6974,-0.011242052,0.58383286,-0.80199164,0.006700885,0.96518785,0.04617215,-0.011242052,-0.5205221,0.53302014
22,0.6974,-0.011613855,0.5831092,-0.8018002,0.0068654683,0.96471065,0.046558905,-0.011613855,-0.51863146,0.53353935
23,0.6973,-0.011975694,0.58239263,-0.80161357,0.0070198067,0.9642395,0.046940178,-0.011975694,-0.5167985,0.5340252
24,0.6972,-0.012328029,0.5816829,-0.8014316,0.007164302,0.9637741,0.047316164,-0.012328029,-0.51502085,0.5344791
25,0.6972,-0.01267129,0.58097976,-0.80125415,0.0072993385,0.9633143,0.04768706,-0.01267129,-0.51329625,0.53490233
26,0.6971,-0.013005894,0.58028287,-0.80108106,0.00742529,0.96285987,0.048053052,-0.013005894,-0.5116225,0.5352962
27,0.6971,-0.013332233,0.57959205,-0.80091214,0.007542515,0.96241057,0.048414316,-0.013332233,-0.5099974,0.535662
28,0.697,-0.01365068,0.5789071,-0.8007472,0.007651359,0.9619662,0.048771027,-0.01365068,-0.5084191,0.53600085
29,0.697,-0.013961592,0.5782277,-0.80058616,0.007752154,0.9615266,0.04912335,-0.013961592,-0.5068856,0.5363139
30,0.6969,-0.014265306,0.57755375,-0.80042887,0.007845221,0.9610915,0.049471445,-0.014265306,-0.50539505,0.53660226
