iteration,cost,l1_n1_w0,l1_n1_w1,l1_n1_w2,l1_n2_w0,l1_n2_w1,l1_n2_w2,l2_n1_w0,l2_n1_w1,l2_n1_w2
0,0.2739,0.0,0.9253912,-0.7980678,0.0,-0.6299908,0.25592065,0.0,0.6032789,0.72372794
1,0.2731,-0.0011913716,0.9247713,-0.7987166,-0.0012789773,-0.6305362,0.25538668,-0.0011913716,0.5994739,0.72074676
2,0.2724,-0.0023640282,0.92416114,-0.7993551,-0.0025374983,-0.6310727,0.25486377,-0.0023640282,0.5957198,0.71780694
3,0.2716,-0.003518158,0.92356056,-0.7999834,-0.0037757375,-0.6316004,0.25435176,-0.003518158,0.59201664,0.71490836
4,0.2709,-0.0046539567,0.9229695,-0.8006016,-0.004993877,-0.63211936,0.25385058,-0.0046539567,0.5883643,0.712051
5,0.2703,-0.0057716267,0.9223879,-0.8012098,-0.006192109,-0.6326297,0.25336012,-0.0057716267,0.5847627,0.7092347
6,0.2696,-0.006871377,0.9218156,-0.8018081,-0.007370632,-0.6331315,0.25288025,-0.006871377,0.5812117,0.7064594
7,0.269,-0.007953423,0.9212524,-0.80239666,-0.008529652,-0.6336249,0.25241083,-0.007953423,0.57771116,0.70372486
8,0.2683,-0.009017984,0.9206984,-0.80297554,-0.00966938,-0.63411003,0.25195175,-0.009017984,0.5742609,0.7010309
9,0.2677,-0.0100652855,0.9201534,-0.8035449,-0.010790034,-0.634587,0.2515029,-0.0100652855,0.57086074,0.6983774
10,0.2671,-0.0110955555,0.9196172,-0.80410475,-0.011891837,-0.63505584,0.25106412,-0.0110955555,0.5675104,0.69576406
11,0.2666,-0.012109027,0.91908973,-0.8046553,-0.012975018,-0.6355167,0.2506353,-0.012109027,0.5642097,0.6931907
12,0.266,-0.013105936,0.91857094,-0.8051967,-0.014039807,-0.63596976,0.25021628,-0.013105936,0.56095827,0.690657
13,0.2655,-0.014086521,0.91806066,-0.80572903,-0.015086442,-0.63641506,0.24980693,-0.014086521,0.5577558,0.68816274
