iteration,cost,l1_n1_w0,l1_n1_w1,l1_n1_w2,l1_n2_w0,l1_n2_w1,l1_n2_w2,l2_n1_w0,l2_n1_w1,l2_n1_w2
0,0.7088,0.0,-0.08373952,0.44864702,0.0,0.33071184,0.63365316,0.0,0.5724864,-0.4777832
1,0.7081,0.0016007323,-0.081683196,0.445066,-0.0018785334,0.3314828,0.6313256,0.0016007323,0.5728087,-0.4733035
2,0.7076,0.0030922038,-0.07967831,0.4415526,-0.0036915797,0.3321923,0.62905365,0.0030922038,0.57311434,-0.46897808
3,0.7071,0.004480063,-0.07772257,0.43810433,-0.005442502,0.3328438,0.62683517,0.004480063,0.5734031,-0.4647996
4,0.7066,0.0057696807,-0.07581379,0.4347188,-0.007134485,0.33344057,0.62466806,0.0057696807,0.57367486,-0.4607611
5,0.7061,0.006966151,-0.073949896,0.4313937,-0.00877054,0.33398563,0.6225503,0.006966151,0.5739295,-0.45685595
6,0.7057,0.008074328,-0.0721289,0.4281269,-0.010353522,0.3344819,0.62048006,0.008074328,0.57416713,-0.45307797
7,0.7053,0.009098818,-0.07034892,0.42491627,-0.011886131,0.33493212,0.6184555,0.009098818,0.5743879,-0.44942123
8,0.7049,0.010044004,-0.068608165,0.4217598,-0.013370923,0.33533886,0.616475,0.010044004,0.57459205,-0.44588017
9,0.7046,0.010914044,-0.066904925,0.41865563,-0.014810316,0.3357046,0.61453676,0.010914044,0.57477987,-0.4424495
10,0.7042,0.011712894,-0.065237574,0.4156019,-0.0162066,0.33603162,0.6126393,0.011712894,0.57495165,-0.43912426
11,0.7039,0.012444317,-0.06360457,0.4125969,-0.017561942,0.33632213,0.61078113,0.012444317,0.5751078,-0.43589967
12,0.7036,0.013111885,-0.062004432,0.40963897,-0.018878393,0.3365782,0.6089608,0.013111885,0.5752487,-0.43277133
13,0.7034,0.0137189925,-0.060435757,0.4067265,-0.020157894,0.33680177,0.607177,0.0137189925,0.57537484,-0.42973495
14,0.7031,0.014268868,-0.058897205,0.40385798,-0.021402283,0.3369947,0.6054284,0.014268868,0.5754866,-0.4267865
