iteration,cost,l1_n1_w0,l1_n1_w1,l1_n1_w2,l1_n2_w0,l1_n2_w1,l1_n2_w2,l2_n1_w0,l2_n1_w1,l2_n1_w2
0,0.7343,0.0,0.54464626,-0.82445765,0.0,0.85767984,-0.012851477,0.0,-0.79135704,-0.62931585
1,0.7325,-0.0020592443,0.5391607,-0.82502216,-0.0026438169,0.8530575,-0.01917709,-0.0020592443,-0.78385353,-0.63044053
2,0.7308,-0.004016292,0.53378624,-0.8255498,-0.005152152,0.84852135,-0.025455168,-0.004016292,-0.7766347,-0.63150144
3,0.7292,-0.005876226,0.52851903,-0.82604426,-0.0075315945,0.8440693,-0.03168701,-0.005876226,-0.76968765,-0.63250124
4,0.7277,-0.0076439,0.52335554,-0.82650924,-0.009788456,0.83969915,-0.037873928,-0.0076439,-0.7630001,-0.63344276
5,0.7263,-0.00932395,0.5182922,-0.8269481,-0.011928787,0.8354088,-0.044017226,-0.00932395,-0.7565603,-0.6343288
6,0.725,-0.010920797,0.51332563,-0.82736397,-0.013958369,0.83119625,-0.0501182,-0.010920797,-0.7503573,-0.63516223
7,0.7237,-0.01243866,0.50845253,-0.8277598,-0.015882734,0.8270594,-0.05617814,-0.01243866,-0.7443803,-0.63594586
8,0.7225,-0.013881556,0.50366974,-0.82813835,-0.017707163,0.82299626,-0.06219831,-0.013881556,-0.7386194,-0.63668257
9,0.7213,-0.015253311,0.49897417,-0.8285022,-0.019436697,0.8190049,-0.068179965,-0.015253311,-0.73306495,-0.6373752
10,0.7203,-0.016557572,0.4943629,-0.82885367,-0.021076143,0.8150834,-0.07412432,-0.016557572,-0.7277079,-0.6380264
11,0.7192,-0.017797805,0.4898331,-0.82919514,-0.022630086,0.8112299,-0.080032595,-0.017797805,-0.72253966,-0.6386391
12,0.7182,-0.0189773,0.48538202,-0.8295286,-0.024102883,0.80744255,-0.085905954,-0.0189773,-0.71755195,-0.6392158
13,0.7173,-0.02009919,0.48100707,-0.82985616,-0.025498694,0.80371964,-0.09174554,-0.02009919,-0.712737,-0.6397593
14,0.7164,-0.02116645,0.47670573,-0.8301796,-0.026821466,0.80005944,-0.09755247,-0.02116645,-0.7080875,-0.640272
15,0.7155,-0.022181908,0.4724756,-0.83050054,-0.028074956,0.7964603,-0.10332784,-0.022181908,-0.7035963,-0.64075655
16,0.7146,-0.02314824,0.46831435,-0.8308207,-0.029262727,0.7929206,-0.1090727,-0.02314824,-0.6992568,-0.6412153
17,0.7138,-0.024067998,0.46421978,-0.83114153,-0.030388167,0.7894388,-0.11478808,-0.024067998,-0.6950626,-0.6416507
18,0.713,-0.024943594,0.46018976,-0.83146447,-0.03145449,0.7860133,-0.12047496,-0.024943594,-0.6910077,-0.6420649
19,0.7123,-0.025777321,0.45622224,-0.83179075,-0.03246474,0.7826427,-0.1261343,-0.025777321,-0.68708634,-0.6424603
20,0.7115,-0.02657135,0.45231527,-0.8321216,-0.033421807,0.77932566,-0.13176705,-0.02657135,-0.68329316,-0.6428389
21,0.7108,-0.027327742,0.44846702,-0.83245826,-0.034328423,0.7760607,-0.13737409,-0.027327742,-0.679623,-0.6432028
22,0.7101,-0.028048448,0.44467565,-0.83280164,-0.03518718,0.7728466,-0.14295627,-0.028048448,-0.6760709,-0.643554
23,0.7095,-0.028735327,0.44093946,-0.83315283,-0.03600053,0.769682,-0.14851445,-0.028735327,-0.6726322,-0.64389443
24,0.7088,-0.02939012,0.4372568,-0.83351266,-0.03677079,0.7665657,-0.15404943,-0.02939012,-0.6693025,-0.644226
25,0.7082,-0.030014493,0.43362612,-0.83388203,-0.037500147,0.76349646,-0.15956196,-0.030014493,-0.66607755,-0.64455044
26,0.7075,-0.030610017,0.4300459,-0.8342617,-0.03819067,0.7604732,-0.16505282,-0.030610017,-0.6629533,-0.6448695
27,0.7069,-0.031178182,0.4265147,-0.8346525,-0.03884431,0.7574948,-0.1705227,-0.031178182,-0.65992606,-0.6451848
28,0.7063,-0.0317204,0.42303112,-0.835055,-0.039462913,0.7545602,-0.17597231,-0.0317204,-0.6569921,-0.6454979
29,0.7057,-0.032238003,0.41959387,-0.83546984,-0.040048208,0.75166833,-0.1814023,-0.032238003,-0.654148,-0.64581037
30,0.7052,-0.032732252,0.41620168,-0.8358976,-0.040601835,0.7488182,-0.1868133,-0.032732252,-0.65139043,-0.6461236
31,0.7046,-0.033204343,0.41285333,-0.83633894,-0.041125335,0.74600893,-0.19220594,-0.033204343,-0.64871633,-0.646439
32,0.704,-0.03365541,0.40954763,-0.83679426,-0.041620154,0.7432395,-0.19758078,-0.03365541,-0.6461227,-0.64675796
33,0.7035,-0.03408651,0.4062835,-0.837264,-0.04208766,0.7405091,-0.20293842,-0.03408651,-0.64360666,-0.6470817
34,0.7029,-0.034498665,0.40305987,-0.83774865,-0.04252913,0.7378168,-0.20827937,-0.034498665,-0.64116555,-0.64741135
35,0.7024,-0.034892824,0.39987573,-0.83824855,-0.04294576,0.73516184,-0.21360417,-0.034892824,-0.6387968,-0.6477482
36,0.7019,-0.035269894,0.3967301,-0.83876413,-0.043338686,0.73254335,-0.21891329,-0.035269894,-0.636498,-0.6480933
37,0.7014,-0.035630725,0.39362204,-0.8392957,-0.043708965,0.7299606,-0.22420722,-0.035630725,-0.6342667,-0.64844775
38,0.7009,-0.03597612,0.39055064,-0.8398435,-0.04405758,0.7274129,-0.22948644,-0.03597612,-0.6321007,-0.64881253
39,0.7004,-0.03630684,0.38751507,-0.84040785,-0.044385463,0.7248995,-0.23475134,-0.03630684,-0.6299979,-0.64918864
40,0.6999,-0.036623612,0.38451448,-0.840989,-0.044693477,0.7224196,-0.2400024,-0.036623612,-0.62795633,-0.64957696
41,0.6994,-0.036927108,0.38154808,-0.8415872,-0.04498243,0.7199727,-0.24523996,-0.036927108,-0.62597394,-0.6499784
42,0.6989,-0.037217963,0.3786151,-0.84220266,-0.045253072,0.71755815,-0.25046444,-0.037217963,-0.62404895,-0.6503937
43,0.6984,-0.037496787,0.37571487,-0.84283555,-0.04550611,0.7151752,-0.2556762,-0.037496787,-0.62217957,-0.6508238
44,0.6979,-0.03776415,0.37284663,-0.843486,-0.04574219,0.71282333,-0.2608756,-0.03776415,-0.62036407,-0.6512693
45,0.6975,-0.03802059,0.37000975,-0.84415424,-0.045961928,0.71050197,-0.266063,-0.03802059,-0.6186009,-0.6517311
46,0.697,-0.03826661,0.3672036,-0.84484035,-0.04616588,0.7082106,-0.2712387,-0.03826661,-0.61688846,-0.6522097
47,0.6965,-0.03850269,0.3644275,-0.84554446,-0.04635457,0.7059486,-0.27640304,-0.03850269,-0.6152253,-0.6527058
48,0.6961,-0.038729277,0.36168092,-0.8462667,-0.046528477,0.7037155,-0.28155628,-0.038729277,-0.61361,-0.65322
49,0.6956,-0.038946792,0.35896328,-0.84700716,-0.046688046,0.7015108,-0.2866987,-0.038946792,-0.6120413,-0.6537529
50,0.6952,-0.03915564,0.356274,-0.84776586,-0.046833687,0.69933397,-0.2918306,-0.03915564,-0.6105178,-0.6543051
51,0.6947,-0.039356194,0.3536126,-0.8485429,-0.046965778,0.69718456,-0.29695225,-0.039356194,-0.6090383,-0.65487707
52,0.6943,-0.039548807,0.35097855,-0.8493384,-0.047084663,0.69506216,-0.3020639,-0.039548807,-0.6076016,-0.6554693
53,0.6938,-0.039733812,0.34837136,-0.8501523,-0.047190655,0.69296634,-0.3071658,-0.039733812,-0.60620654,-0.6560823
54,0.6934,-0.03991152,0.34579057,-0.8509847,-0.04728404,0.69089663,-0.31225818,-0.03991152,-0.6048521,-0.6567164
55,0.693,-0.040082224,0.34323573,-0.85183555,-0.047365077,0.68885267,-0.31734127,-0.040082224,-0.60353714,-0.6573721
56,0.6925,-0.040246196,0.34070644,-0.85270494,-0.047434002,0.68683404,-0.32241526,-0.040246196,-0.60226077,-0.65804976
57,0.6921,-0.0404037,0.33820224,-0.8535929,-0.047491033,0.6848403,-0.32748038,-0.0404037,-0.60102195,-0.65874976
58,0.6917,-0.040554978,0.33572274,-0.85449934,-0.04753636,0.68287116,-0.33253682,-0.040554978,-0.5998198,-0.6594724
59,0.6912,-0.040700253,0.33326757,-0.8554243,-0.04757015,0.68092626,-0.33758476,-0.040700253,-0.5986534,-0.66021806
60,0.6908,-0.040839747,0.33083633,-0.85636777,-0.047592554,0.6790052,-0.34262443,-0.040839747,-0.5975219,-0.660987
61,0.6904,-0.040973656,0.3284287,-0.8573297,-0.047603704,0.6771077,-0.34765595,-0.040973656,-0.5964245,-0.6617795
62,0.69,-0.041102167,0.3260443,-0.85831016,-0.047603715,0.6752334,-0.35267952,-0.041102167,-0.5953605,-0.66259587
63,0.6896,-0.041225456,0.32368279,-0.859309,-0.047592685,0.67338204,-0.3576953,-0.041225456,-0.59432906,-0.6634363
