iteration,cost,l1_n1_w0,l1_n1_w1,l1_n1_w2,l1_n2_w0,l1_n2_w1,l1_n2_w2,l2_n1_w0,l2_n1_w1,l2_n1_w2
0,0.252,0.0,-0.6671066,0.4972856,0.0,0.51689935,-0.22972107,0.0,-0.022821903,-0.8762102
1,0.252,5.7520916e-05,-0.6670925,0.49679977,0.0003186673,0.51692235,-0.22992088,5.7520916e-05,-0.023519434,-0.87560916
2,0.252,0.000117073345,-0.6670778,0.49632117,0.000647416,0.5169462,-0.2301136,0.000117073345,-0.024215454,-0.87501097
3,0.2519,0.0001786628,-0.6670624,0.4958497,0.0009859592,0.51697093,-0.2302995,0.0001786628,-0.024909962,-0.87441564
4,0.2519,0.0002422944,-0.6670464,0.49538523,0.0013340176,0.51699656,-0.23047888,0.0002422944,-0.02560296,-0.8738231
5,0.2519,0.00030797278,-0.66702986,0.49492767,0.001691318,0.5170231,-0.230652,0.00030797278,-0.026294444,-0.8732334
6,0.2519,0.00037570222,-0.66701263,0.49447694,0.0020575975,0.51705056,-0.23081914,0.00037570222,-0.026984418,-0.87264645
7,0.2519,0.00044548657,-0.66699475,0.49403292,0.0024325997,0.51707894,-0.23098052,0.00044548657,-0.027672881,-0.87206227
8,0.2518,0.00051732943,-0.6669763,0.4935955,0.0028160797,0.5171082,-0.2311364,0.00051732943,-0.028359834,-0.8714808
9,0.2518,0.00059123384,-0.66695714,0.49316463,0.0032077944,0.51713836,-0.231287,0.00059123384,-0.02904528,-0.87090206
10,0.2518,0.0006672026,-0.66693735,0.49274018,0.00360751,0.5171695,-0.23143257,0.0006672026,-0.029729225,-0.870326
11,0.2518,0.00074523815,-0.6669169,0.49232206,0.0040150015,0.5172015,-0.23157334,0.00074523815,-0.030411668,-0.8697525
12,0.2517,0.0008253427,-0.6668958,0.4919102,0.004430048,0.5172344,-0.23170951,0.0008253427,-0.031092616,-0.86918175
13,0.2517,0.0009075182,-0.66687405,0.4915045,0.004852436,0.51726824,-0.2318413,0.0009075182,-0.031772073,-0.86861354
14,0.2517,0.0009917662,-0.66685164,0.49110487,0.00528196,0.517303,-0.2319689,0.0009917662,-0.032450043,-0.86804795
15,0.2517,0.001078088,-0.6668286,0.49071124,0.005718418,0.5173387,-0.2320925,0.001078088,-0.033126533,-0.8674849
16,0.2517,0.0011664846,-0.66680485,0.49032354,0.0061616134,0.51737535,-0.23221232,0.0011664846,-0.03380155,-0.86692446
17,0.2516,0.001256957,-0.6667805,0.4899417,0.0066113593,0.5174129,-0.23232852,0.001256957,-0.034475096,-0.8663665
18,0.2516,0.0013495056,-0.6667554,0.4895656,0.0070674717,0.5174514,-0.23244129,0.0013495056,-0.03514718,-0.8658111
19,0.2516,0.001444131,-0.6667296,0.48919523,0.0075297714,0.51749086,-0.23255081,0.001444131,-0.03581781,-0.8652582
20,0.2516,0.0015408334,-0.6667032,0.48883048,0.0079980865,0.5175312,-0.23265724,0.0015408334,-0.036486994,-0.86470777
21,0.2516,0.0016396127,-0.6666761,0.48847127,0.008472249,0.5175725,-0.23276074,0.0016396127,-0.037154738,-0.8641598
22,0.2516,0.0017404688,-0.6666483,0.48811755,0.008952096,0.5176148,-0.23286149,0.0017404688,-0.037821054,-0.8636143
23,0.2515,0.0018434012,-0.66661984,0.48776925,0.009437468,0.517658,-0.23295961,0.0018434012,-0.038485948,-0.8630712
24,0.2515,0.0019484096,-0.6665907,0.4874263,0.009928214,0.51770216,-0.23305528,0.0019484096,-0.039149426,-0.8625305
25,0.2515,0.0020554932,-0.6665608,0.48708868,0.010424183,0.5177472,-0.23314863,0.0020554932,-0.039811503,-0.86199224
26,0.2515,0.0021646512,-0.6665303,0.4867563,0.010925231,0.51779324,-0.2332398,0.0021646512,-0.040472187,-0.86145633
27,0.2515,0.0022758825,-0.6664991,0.48642907,0.011431218,0.5178402,-0.23332892,0.0022758825,-0.041131485,-0.8609228
